"Borner Silvio";;;"Die steuerliche Attraktivität Basels";;;;0;28;Druckerzeugnis;"Eine Analyse der Auswirkungen der Steuerrevision BS auf das Belastungsgefälle BS/BL";Haupt-Bibliothek;"AJ 379";Basel;WWZ;1989;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";0;found;;(DE-101)943974992
"Shubik Martin";;;"Game Theory in the Social Sciences";"Vol. 2";;;0.262.19219.5;722;Druckerzeugnis;"A Game-Theoretic Approach to Political Economy";Haupt-Bibliothek;"AK 1141 2";Cambridge;"M.I.T. Press";1984;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";0;notfound
"Brüngger Heinrich";;;"Die Nutzen-Kosten-Analyse als Instrument der Planung im Gesundheitswesen";;;;3.7255.1585.9;228;Druckerzeugnis;"Basler Dissertation, 1974";Haupt-Bibliothek;"BG 126";Zürich;Schulthess;1974;YL7;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";found;;(DE-627)039658945
"Koslowski Peter";"Kreuzer Philipp";;"Chancen und Grenzen des Sozialstaats";;;;3.16.344712.0;257;Druckerzeugnis;"Staatstheorie, Politische Ökonomie, Politik";Haupt-Bibliothek;"AF 200";Tübingen;"J.C.B. Mohr";1983;YX;;;Wirtschaftswissenschaften;"Sozialpolitik. Gesundheitswesen. Bildungsökonomie";0;found;;(DE-627)027440303
"Retzlaff Günter";;;"Der Verwaltungssekretär";;;;3-452-18667-9;94;Druckerzeugnis;"Schriftenreihe zur Ausbildung der Beamten des mittleren Dienstes an Studieninstituten und Verwaltungsschulen";Haupt-Bibliothek;"EA 171";Köln;"Carl Heymanns";1979;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;found;;(DE-627)023673818
"Joseph Silvia";"Vollrath Hans-Joachim";;"Anwendbarkeit des Internationalen Steuerrechts bei Einführung einer Ausgabensteuer";;;;3-88259-801-8;144;Druckerzeugnis;0;Haupt-Bibliothek;"LD 171";München;"V. Florentz GmbH";1991;LD;;;"Interkantonales/Internationales Steuerrecht";Deutschland;0;found;;(DE-627)272137138
"Becher Tony";;;"Academic Tribes and Territories";;;;0-335-09221-7;195;Druckerzeugnis;"Intellectual enquiry and the Cultures of Disciplines";Haupt-Bibliothek;"EJ 139";Buckingham;"Open Univeristy Press";1989;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;found;;(DE-627)1648675069
"Wittmann Walter";;;"Die Finanzgesinnung des Bundes im Lichte der parlamentarischen Beratungen";"Von der Weltwirtschaftskrise bis zur Gegenwart";;;0;165;Druckerzeugnis;0;Haupt-Bibliothek;"AD 105";Zürich;"Polygraphischer Verlag";1969;YL1;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;found;;(DE-627)1143916697
"Gurtner Peter";;;"Alternativmodelle der Wohnbauförderung Ein Systemvergleich zwischen der Objekt- und der Subjekthilfe. Dargestellt am Beispiel der neuen Wohnbauförderungskonzeption des Bundes sowie in- und ausländischer Individualhilfemethoden";;;;0;"451 + Anhang";Druckerzeugnis;"Dissertation der Hochschule St. Gallen, Nr. 465";Haupt-Bibliothek;"AJ 210";Bern;"Eidg. Drucksachen- und Materialzentrale";1972;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";0;found;;(DE-627)1126654043
"Gramlich Edward M.";;;"Benefit-Cost Analysis of Government Programs";;;;0.13.074757.2;265;Druckerzeugnis;0;Haupt-Bibliothek;"BG 131";"Englewood Cliffs";Prentice-Hall;1981;YL7;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";found;;(DE-627)020975112
"Haberler Gottfried";"Bartel Karl";;"Das Inflationsproblem heute";"Stabilisierung oder Anpassung";;;3.428.03264.0;206;Druckerzeugnis;0;Haupt-Bibliothek;"AG 224";Berlin;"Duncker & Humblot";1974;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";0;found;;(DE-627)021978247
EG-Kommission;;;"Die künftige Finanzierung der Gemeinschaft";;;;0;37;Druckerzeugnis;"Mitteilung der Kommission an den Rat und an das Europäische Parlament";Haupt-Bibliothek;"FB 142";Brüssel;EG;1983;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";"Finanzwirtschaft supranationaler Behörden";found;;(DE-627)1459343263
"Brede Helmut";"Buschor Ernst";;"Das neue Öffentliche Rechnungswesen";;;;3-7890-3111-9;322;Druckerzeugnis;"Betriebswirtschaftliche Beiträge zur Haushaltsreform in Deutschland, Österreich und der Schweiz Schriften zur öffentlichen Verwaltung und öffentlichen Wirtschaft, Bd. 133";Haupt-Bibliothek;"VF 113";Baden-Baden;Nomos;1993;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";found;;(DE-627)128563419
"Ziegelschmidt Helmut";;;"Die Beurteilung öffentlicher Investitionen unter Unsicherheit";;;;0;229;Druckerzeugnis;"Dissertation der Johann Wolfgang Goethe-Univesität zu Frankfurt/Main";Haupt-Bibliothek;"AG 252";;Offset;1976;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";0;found;;(DE-627)039283291
"Ritzmann Franz";;;"Die Schweizer Banken";"Geschichte - Theorie - Statistik";;;3.258.02038.8;373;Druckerzeugnis;"Habilitation der Uni Zürich, 1973";Haupt-Bibliothek;"AK 0246";Bern;"Paul Haupt";1973;YK;;;Wirtschaftswissenschaften;"Geld, Kredit- und Bankwesen. Bankbetriebslehre";0;found;;(DE-627)189319038
"Bucher Erwin";;;"Das eidgenössische Schuldbuch";;;;0;48;Druckerzeugnis;"Inaugural-Dissertation zur Erlangung der Würde eines Doctor rerum politicarum der Rechts- und Wirtschaftswissenschaftlichen Fakultät der Universität Bern";Haupt-Bibliothek;"DC 101";Zürich;"Buchdruckerei Walter Plüss";1965;YL2;YL7;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";found;;(DE-627)428004733
"Marris Stephen N.";;;"Decision-Making on Exchange Rates";;;;0;11;Druckerzeugnis;0;Separata;"AK Sep. 222";Washington;"Brookings Institution";1970;YK;;;Wirtschaftswissenschaften;"Geld, Kredit- und Bankwesen. Bankbetriebslehre";0;found;;(DE-602)b3kat_BV027774215
"Fluhr Karl Hans";;;"Auch ohne Bürger sind wir sehr beschäftigt";;;;3-593-35431-4;173;Druckerzeugnis;"Von der Schwierigkeit die Verwaltung zu modernisieren";Haupt-Bibliothek;"EG 196";Frankfurt;Campus;1995;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;found;;(DE-627)187251606
"Locher Peter";;;"Die indirekte Teilliquidation im Recht der direkten Bundessteuer";;;;"3 7272 9220 2";219-238;Druckerzeugnis;"In: Reich, M. & Zweifel, M., (Hrsg.): Das schweizerische Steuerrecht - Eine Standortbestimmung Festschrift zum 70. Geburtstag von Prof. Dr. Ferdinand Zuppinger";Haupt-Bibliothek;;Bern;Stämpfli;;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;notfound
"Bericht der Eidgenössischen Expertenkommission für die Neuordnung der Krankenversicherung";;;"Bericht der Eidgenössischen Expertenkommission für die Neuordnung der Krankenversicherung vom 11. Februar 1972";;;;0;283;Druckerzeugnis;0;Haupt-Bibliothek;"AF 123";Bern;"Eidgenössische Drucksachen- und Materialzentrale";1972;YX;;;Wirtschaftswissenschaften;"Sozialpolitik. Gesundheitswesen. Bildungsökonomie";0;notfound
"Tietmeyer Hans";;;"Der Einfluss des Staates auf den Wettbewerb aus der Sicht des Bundesministeriums für Wirtschaft";;;;3.428.06084.9;49-66;Druckerzeugnis;"In: Röper Burkhardt (Hrsg.): Der Einfluss des Staates auf den Wettbewerb";Haupt-Bibliothek;;Berlin;"Duncker & Humblot";;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";0;unsafe
"Price Waterhouse";;;"Corporate Taxes 1997 A Worldwide Summary";;;;-;720;Druckerzeugnis;0;Haupt-Bibliothek;"PK 150 1";"New York";"Price Waterhouse World Firm Services BV";1997;PK;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Besteuerung juristischer Personen, Kapitalgesellschaften";0;notfound
"Kelman Steven";;;"Deregulating Federal Procurement";"Nothing to Fear But Discretion Itself?";;;0.8157.1854.3;102-129;Druckerzeugnis;"In: Dilulio John J. Jr./andere (ed.)- Deregulating the Public Sector";Haupt-Bibliothek;;Washington;"Brookings Institution";;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;notfound
IFSt;;;"IFSt-Heft 112";;;;-;165;Druckerzeugnis;0;Haupt-Bibliothek;"Z 152 112";Bonn;Stollfuss;1976;Z;;;Zeitschriften;0;0;ignore
"Scheil Xenia B.";;;"Besteuerung von Alterseinkünften";;;;3.88259.281.8;196;Druckerzeugnis;"Verteilungswirkungen der steuerlichen Behandlung im internationalen Vergleich";Haupt-Bibliothek;"AH 192";München;"V. Florentz GmbH";1983;YV;;;Wirtschaftswissenschaften;"Arbeitnehmerfragen (Labor Economics)";0;found;;(DE-627)024328758
"Timmermann Lars-Olaf";"Jaeger Hans-Joachim";;"Die Besteuerung von Mitarbeiteraktien und -optionsplänen ('ESOP') in der Schweiz";;;;0;31;Druckerzeugnis;0;Separata;"PF Sep. 01";Zürich;"Arthur Andersen";1997;PF;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";Vermögensertrag;0;notfound
"Schweiz. Bundesrat";;;"Abkommen zwischen der Schweizerischen Eidgenossenschaft und den Europäischen Gemeinschaften";;;;0;653-999;Druckerzeugnis;"Botschaft des Bundesrates an die Bundesversammlung vom 16. August 1972 Texte der Abkommen und der zusätzlichen Dokumente";Haupt-Bibliothek;"FB 116";Bern;;1972;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";"Finanzwirtschaft supranationaler Behörden";found;;(DE-602)b3kat_BV043054697
"Weber L. H.";"Vorsteher des Finanzdepartementes des Kanton Aargau";"und diverse Andere";"Bericht über die Vereinheitlichung und des Aufbaus und der Gliederung über die öffentliche Rechnung";;;;0;93;Druckerzeugnis;0;Haupt-Bibliothek;"VD 110";Zug;FDK;1973;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";notfound
"Birkenfeld Wolfram";"Forst Christian";;"Das Umsatzsteuerrecht im Europäischen Binnenmarkt";;;;"3 503 04133 8";472;Druckerzeugnis;"Erläuterungen zum Mehrwertsteuersystem nach der 6. Umsatzsteuer-Richtlinie mit einer Textsammlung aller massgebenden Richtlinien- 3. A.";Haupt-Bibliothek;"KA 175 1";Bielefeld;"Erich Schmidt";1998;KA;;;"Ausländisches Steuerrecht";"Staatenverbände, Staatengruppen";0;found;;(DE-627)245274618
"Krüger Rolf";;;"Das wirtschaftspolitische Instrumentarium";;;;0;129;Druckerzeugnis;"Einteilungsmerkmale und Systematisierung";Haupt-Bibliothek;"AG 123";Berlin;"Duncker & Humblot";1967;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";0;notfound
"Nawiasky Hans";"Bürgi Friedrich";;"Die Stellung der Kantone im Bund";;;;0;142;Druckerzeugnis;0;Haupt-Bibliothek;"BC 201";Einsiedeln;"Benziger & Co. AG";1947;YL7;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";notfound
"Reich Markus";"Zweifel Martin";;"Das schweizerische Steuerrecht. Eine Standortbestimmung";"Festschrift zum 70. Geburtstag von Prof. Dr. Ferdinand Zuppinger";;;"3 7272 9220 2";643;Druckerzeugnis;0;"HB Steuerrecht";"JB 123";Bern;Stämpfli;1989;JB;;;"Allgemeine Steuerrechtsliteratur";"Festschriften, Sammelwerke, Bibliographien";0;found;;(DE-627)018760856
"Hansjürgens Bernd";;;"Umweltabgaben im Steuersystem";;;;3-7890-2741-3;274;Druckerzeugnis;"Zu den Möglichkeiten einer Einfügung von Umweltabgaben in das Steuer- und Abgabensystem der Bundesrepublik Deutschland Schriften zur öffentlichen Verwaltung, Bd. 140- hrsg. von Peter Eichhorn und Peter Friedrich";Haupt-Bibliothek;"RD 502";Baden-Baden;Nomos;1992;RD;;;"Uebrige Steuern";"Uebrige Steuern";0;found;;(DE-627)272343544
EG-Kommission;;;"Bulletin der Europäischen Gemeinschaften Nr. 6-1988";;;;0;206;Druckerzeugnis;0;Haupt-Bibliothek;"FB 156";Brüssel;EG;1988;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";"Finanzwirtschaft supranationaler Behörden";notfound
EWG;;;"Bericht des Steuer- und Finanzausschusses";;;;0;153;Druckerzeugnis;Neumark-Bericht;Haupt-Bibliothek;"KA 102";;"Veröffentlichungsstellen der Europ. Gemeinschaften";1962;KA;;;"Ausländisches Steuerrecht";"Staatenverbände, Staatengruppen";0;found;;(DE-627)432183388
"Europa-Forum Luzern";;;"Die Schweiz und die verschärfte Steuerkonkurrenz in der Krisenzeit";"Wettbewerbsfaktor Steuern";;;-;;CD-ROM/DVD;"17. Internationales Europa Forum Luzern vom Montag, 2. November 2009, im KKL Luzern";Haupt-Bibliothek;"TA 202 2";Luzern;"Europa Forum Luzern";2010;TA;;;"Finanz- und Steuerpolitik (Finanzreform)";Bund;0;ignore
"Fessler Ferdinand";;;"Die Entwicklung der Steuerbelastung des Reineinkommens natürlicher Personen in Bund und Kanton Zürich";;;;"3 7272 9220 2";13-29;Druckerzeugnis;"In: Reich, M. & Zweifel, M., (Hrsg.): Das schweizerische Steuerrecht - Eine Standortbestimmung Festschrift zum 70. Geburtstag von Prof. Dr. Ferdinand Zuppinger";Haupt-Bibliothek;;Bern;Stämpfli;;PC;PE;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommensteuer allgemein-	Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;notfound
"Chancellor of the Exchequer";;;"Better Accounting for the Texpayer's Money";;;;0;50;Druckerzeugnis;"The Government's Proposals";Haupt-Bibliothek;"VF 138";London;"Parliament by the Chancellor";1995;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";notfound
"Institut de Droit des Affaires";;;"Le système fiscal français et la construction européenne";;;;0;169;Druckerzeugnis;"Table ronde du 21 janvier 1988";Haupt-Bibliothek;"KE 112";Aix-Marseille;"Presse universitaires";1989;KE;;;"Ausländisches Steuerrecht";Frankreich;0;found;;(DE-627)1088948847
"Zuber Heinz";;;"Der französische Trésor";;;;0;201;Druckerzeugnis;"Volkswirtschaftliche Schriften, Heft 108";Haupt-Bibliothek;"EF 113";Berlin;"Duncker & Humblot";1967;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;found;;(DE-627)1074641574
"Bundesamt für Statistik";;;"Bildungsmosaik Schweiz";;;;3-303-15068-0;71;Druckerzeugnis;0;Haupt-Bibliothek;"AE 193";Bern;BFS;1992;YJ;;;Wirtschaftswissenschaften;"Volkswirtschaftliches Rechnungswesen. Sonstiges, einzelnen Gruppen nicht zuweisbares statistisches Material";0;found;;(DE-101)940910063
"Hofmeister Albert";;;"Anreizsysteme im öffentlichen Bereich";;;;0;258;Druckerzeugnis;0;Haupt-Bibliothek;"EA 227";Bern;"Schweizerische Gesellschaft für Verwaltungswissenschaften";1991;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;found;;(DE-627)1601681550
"Sultan Herbert";;;"Art und Mass der Prognose der Steuerwirkungen";;;;0;23;Druckerzeugnis;"Antrittsvorlesung am 18.7.31";Separata;"CA Sep. 09";Tübingen;"J.C.B. Mohr";1931;YL7;YL8;YL9;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre";found;;(DE-627)1131280059
"Schweiz. Kreditanstalt";;;"Die Schweiz und die europäische Integration";;;;0;243;Druckerzeugnis;"Berichte und Dokumente eines Seminars der Schweiz. Kreditanstalt";Haupt-Bibliothek;"KA 105";;SKA;1968;KA;;;"Ausländisches Steuerrecht";"Staatenverbände, Staatengruppen";0;found;;(DE-627)550184198
"Oesch Richard";;;"Die Holdingbesteuerung in der Schweiz";;;;-;559;Druckerzeugnis;"Eine Studie über ihre Grundlage und Ausformung Diss. der Uni Zürich";Haupt-Bibliothek;"PN 216";Zürich;Schulthess;1976;PN;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Besondere Arten von juristischen Personen";0;found;;(DE-627)1075471753
"Finger Matthias";;;"Conception et Developpement d'un Projet";;;;0;60;Druckerzeugnis;0;Haupt-Bibliothek;"EF 248";Genf;"Atag Ernst & Young Consulting";1997;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;notfound
"Förterer Jürgen";;;"Die stabilitätspolitischen Vorschläge Milton Friedmans";;;;3.428.04464.9;231;Druckerzeugnis;"Wissenschaft im Spannungsfeld von Werturteil und Theorie";Haupt-Bibliothek;"AK 1036";Berlin;"Duncker & Humblot";1979;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";0;found;;(DE-627)023593695
"Stachels Elmar";;;"Das Stabilitätsgesetz im System des Regierungshandelns";;;;0;209;Druckerzeugnis;0;Haupt-Bibliothek;"AG 196";Berlin;"de Gruyter";1970;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";0;found;;(DE-627)1072752093
"Schweiz. Verwaltungs-Kurse an der HSG";;;"Buts et méthodes d'une politique fiscale rationnelle sur le plan fédéral-cantonal et communal";;;;0;100;Druckerzeugnis;"21e cours par l'Institut suisse de cours administratifs Université commerciale de St. Gall. 17. octobre 1942 à Montreux.";Haupt-Bibliothek;"CA 104";"St. Gallen";"Institut suisse de cours administratifs";1942;YL7;YL8;YL9;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre";notfound
"Nawiasky Hans";;;"Das Personalwesen der öffentlichen Verwaltung";;;;0;180;Druckerzeugnis;"Die grossen Entwicklungslinien, Grundsätzliches über das Dienstrecht, Personalauslese, Vorbildung, Ausbildung, Fortbildung, Disziplinarwesen,ua.";Haupt-Bibliothek;"EA 104";Einsiedeln;"Verlagsanstalt Benziger & Co. AG";1958;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;found;;(DE-627)178306827
"Simonek Madeleine";"Eitel Paul";"Müller Karin";"Unternehmensrecht II";"Nachfolge und Umstrukturierung";;;978-3-7255-5820-9;330;Druckerzeugnis;0;Haupt-Bibliothek;"WC 262 2.1";Zürich;Schulthess;2009;WC;;;"Uebrige Literatur";Privatrecht;0;found;;(DE-627)1378385721
"Ossenbühl Klaus Hermann";;;"Die gerechte Steuerlast";;;;0;175;Druckerzeugnis;"Prinzipien der Steuerverteilung unter staatsphilosophischem Aspekt";Haupt-Bibliothek;"CA 170";Heidelberg;"F. H. Kerle Verlag";1972;YL7;YL8;YL9;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre";found;;(DE-627)020233094
"Walker Beat";;;"Das schweizerische Steuersystem";;;;"3 7155 9001 7";391;Druckerzeugnis;"Band 1";Haupt-Bibliothek;"JA 137 1";Zürich;"AKAD Verlag";1997;JA;;;"Allgemeine Steuerrechtsliteratur";"Allgemeines, Lehrbücher";0;found;;(DE-604)BV012253707
"Böhret Carl";;;"Grundriss der Planungspraxis";;;;3.531.11199.X;223;Druckerzeugnis;"Mittelfristige Programmplanung und angewandte Planungstechniken";Haupt-Bibliothek;"AK 1001";Opladen;"Westdeutscher Verlag";1975;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";0;found;;(DE-627)027392120
"Böhme Olaf J.";;;"Die wirtschaftspolitische Willensbildung in der Schweiz";;;;3.261.04639.2;175;Druckerzeugnis;"Ihre mögliche Verbesserung durch die Schaffung eines Eidgenössischen Wirtschaftsrates";Haupt-Bibliothek;"AK 0425";Bern;"Peter Lang";1979;YR;;;Wirtschaftswissenschaften;"Gewerbepolitik. Einzelne Wirtschaftszweige";0;found;;(DE-627)039911659
"Peat Marwick Mitchell & Co.";;;"Bank Taxation in Europe";;;;0;117;Druckerzeugnis;0;Haupt-Bibliothek;"KA 319";Frankfurt;"Peat Marwick Mitchell";1979;KA;;;"Ausländisches Steuerrecht";"Staatenverbände, Staatengruppen";0;found;;(DE-627)1101831030
OECD;;;"Dealing Effectively with the Challenges of Transfer Pricing";;;;978-92-64-16946-3;109;Druckerzeugnis;"Link: http://www.oecd.org/site/ctpfta/49428070.pdf";"HB Steuerrecht";"LC 6176";Amsterdam;IBFD;2012;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";0;found;;(DE-627)729973840
"Färber Gisela";;;"Das rationale Budget";;;;3-8204-8042-0;312;Druckerzeugnis;"Voraussetzungen und Konsequenzen für ein funktionsfähiges Haushaltswesen der öffentlichen Hand Beiträge zur Politikwissenschaft, Bd. 29";Haupt-Bibliothek;"VB 167";Frankfurt;"Peter Lang";1984;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";found;;(DE-627)023075325
"Schaller François";;;"Die Geldpolitik";;;;0;37;Druckerzeugnis;0;Separata;"AK Sep. 227";Bern;"Schweizerische Volksbank";1981;YK;;;Wirtschaftswissenschaften;"Geld, Kredit- und Bankwesen. Bankbetriebslehre";0;found;;(DE-627)025737570
